name;categorie;sous-categorie
COMPTE A COMPTE CIC IQ CONCEPT SAS 48251775200010                     BICORBEI IQ CONCEPT SG COMPTE A COMPTE CIC VIR SEPA 15/07/2025 07 58 40-00001 VIR SEPA 15/07/2025 07 58 40       COMPTE A COMPTE CIC FR7630003010980002078057838;Interco;Interco
VIR IQ CONCEPT SG C18D25196G10034 /COMPTE A COMPT;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE CIC VIR SEPA 15/07/2025 07 58 40-00001 48251775200010;Interco;Interco
DE SG 01679 0109800020782848;Interco;Interco
FLUX SPH   KSSPEEDPARK HOLDING SPEEDPARK HOLDING FLUX SPH   KSP NOTPROVIDED Montant d'origine : 640 000,00 EUR;Interco;Interco
IQ CONCEPT SG VIR SEPA 29/07/2025 09 01 09-00001 REMB COMPTE COURANT IQ;Interco;Interco
REMB COMPTE CKSP KSP REMB COMPTE COURANT IQ VIR SEPA 29/07/2025 09 01 09-00001 48205614000049;Interco;Interco
IQ CONCEPT SG VIR SEPA 28/07/2025 11 00 09-00001 REMB COMPTE COURANT;Interco;Interco
REMB COMPTE CKSP KSP REMB COMPTE COURANT VIR SEPA 28/07/2025 11 00 09-00001 48205614000049;Interco;Interco
IQ CONCEPT SG VIR SEPA 21/07/2025 09 11 21-00001 REMB COMPTE COURANT;Interco;Interco
REMB COMPTE CKSP KSP REMB COMPTE COURANT VIR SEPA 21/07/2025 09 11 21-00001 48205614000049;Interco;Interco
IMMOXY VIR SEPA 28/07/2025 08 57 47-00001 SOLDE LOYER T3 IMMOXY 1;Loyer;
IMMOXY II VIR SEPA 28/07/2025 09 01 53-00001 SOLDE LOYER T3 IMMOXY 2;Loyer;
KRYPTEX VIR SEPA 18/06/2025 16 55 46-00001 ACOMPTE FA-KR-00158;CAPEX;Kryptex
COMPTE A COMPTE IQ BNP IQ CONCEPT SAS 48251775200010 BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQ BNP VIR SEPA 03/06/2025 10 19 16-00001 VIR SEPA 03/06/2025 10 19 16 COMPTE A COMPTE IQ BNP FR7630003010980002078057838;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ BNP VIR SEPA 03/06/2025 10 19 16-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ CIC VIR SEPA 06/06/2025 09 56 33-00001 Montant d'origine : 30 000,00 EUR;Interco;Interco
COMPTE A COMPTE IQ BNP IQ CONCEPT SAS 48251775200010 BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQ BNP VIR SEPA 06/06/2025 09 54 18-00001 VIR SEPA 06/06/2025 09 54 18 COMPTE A COMPTE IQ BNP FR7630003010980002078057838;Interco;Interco
CAT D 0232311353576;Interco;Interco
CAT V 0051510353678;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE CB LYON VIR SEPA 27/05/2025 08 54 10-00001 48251775200010;Interco;Interco
IQ CONCEPT SG VIR SEPA 27/05/2025 08 54 10-00001 COMPTE A COMPTE CB LYON;Interco;Interco
OLC;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ CIC VIR SEPA 29/07/2025 08 57 10-00001 Montant d'origine : 40 000,00 EUR;Interco;Interco
COMPTE A COMPTE IQ BNP IQ CONCEPT SAS 48251775200010 BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQ BNP VIR SEPA 29/07/2025 08 59 00-00001 VIR SEPA 29/07/2025 08 59 00 COMPTE A COMPTE IQ BNP FR7630003010980002078057838;Interco;Interco
CAT D 0232311353576;Interco;Interco
CAT V 0051510353678;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TRANSFERT INTERNE REFERENCE BANQUE : 2507241740264833 DATE VALEUR : 24/07/2025;Interco;Interco
KO MINI WATERLOO SRL;Interco;Interco
KSP SG VIR SEPA 15/07/2025 08 04 22-00001 IQC KSP C.C;Interco;Interco
IQC KSP C.C IQ CONCEPT SAS IQ CONCEPT SAS IQC KSP C.C VIR SEPA 15/07/2025 08 04 22-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE CB LYON VIR SEPA 18/07/2025 08 26 54-00001 48251775200010;Interco;Interco
IQ CONCEPT SG VIR SEPA 18/07/2025 08 26 54-00001 COMPTE A COMPTE CB LYON;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ CIC VIR SEPA 02/07/2025 10 20 27-00001 Montant d'origine : 35 000,00 EUR;Interco;Interco
VIR IQ CONCEPT SG C18D25183G10129 /COMPTE A COMPT;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ CBL VIR SEPA 02/07/2025 10 22 46-00001 48251775200010;Interco;Interco
IQ CONCEPT SG VIR SEPA 02/07/2025 10 22 46-00001 COMPTE A COMPTE IQ CBL;Interco;Interco
COMPTE A COMPTE IQC IQ CONCEPT SAS 48251775200010 BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQC VIR SEPA 02/07/2025 10 18 37-00001 VIR SEPA 02/07/2025 10 18 37 COMPTE A COMPTE IQC FR7630003010980002078057838;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC VIR SEPA 02/07/2025 10 18 37-00001 48251775200010;Interco;Interco
CORA SA MESSANCY;Fournisseurs;Achat courant
Monizze;Fournisseurs;Achat courant
Prontophot Belgium;Fournisseurs;Achat courant
SA Trendy Foods;Fournisseurs;Achat courant
Action 2503;Fournisseurs;Achat courant
Electrabel nv/sa;Fournisseurs;Achat courant
BRASSERIE DELSART SA;Fournisseurs;Achat courant
Brasserie Delsart;Fournisseurs;Achat courant
REMB FLUX KSPSPEEDPARK HOLDING SPEEDPARK HOLDING REMB FLUX KSP NOTPROVIDED Montant d'origine : 450 000,00 EUR;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ CIC VIR SEPA 06/01/2025 11 41 14-00001 Montant d'origine : 150 000,00 EUR;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ BNP VIR SEPA 06/01/2025 11 39 33-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC BNP VIR SEPA 28/03/2025 16 18 10-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC CIC VIR SEPA 28/03/2025 16 22 48-00001 Montant d'origine : 95 000,00 EUR;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC CIC VIR SEPA 28/01/2025 12 26 02-00001 Montant d'origine : 90 000,00 EUR;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC CB LYON VIR SEPA 28/03/2025 16 19 39-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC BNP VIR SEPA 04/04/2025 08 47 41-00001 Montant d'origine : 80 000,00 EUR;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC BNP VIR SEPA 11/04/2025 18 12 47-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC CIC VIR SEPA 29/04/2025 16 27 26-00001 Montant d'origine : 80 000,00 EUR;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE BNP VIR SEPA 03/02/2025 14 39 23-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC BNP VIR SEPA 28/04/2025 22 34 50-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC CB LYON VIR SEPA 04/04/2025 08 50 02-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ CB LYON VIR SEPA 02/05/2025 13 59 42-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC BNP VIR SEPA 02/05/2025 13 58 01-00001 48251775200010;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC CIC VIR SEPA 07/05/2025 14 19 12-00001 Montant d'origine : 40 000,00 EUR;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQC CIC C VIR SEPA 14/04/2025 15 20 43-00001 Montant d'origine : 30 000,00 EUR;Interco;Interco
COMPTE A COMPIQ CONCEPT SAS IQ CONCEPT SAS COMPTE A COMPTE IQ LF VIR SEPA 07/05/2025 14 21 51-00001 90788654300000;Interco;Interco
KO 4120 VAN BRE COMMUNICATION : TFT INTERNE EXECUTE LE 10/06 REFERENCE BANQUE : 2506102215237176 DATE VALEUR : 11/06/2025;Interco;Interco
KO 4120 VAN BRE COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2505231001089517 DATE VALEUR : 23/05/2025;Interco;Interco
KO 4120 VAN BRE COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2504281849122511 DATE VALEUR : 28/04/2025;Interco;Interco
KO 4120 VAN BRE COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2504191850527859 DATE VALEUR : 22/04/2025;Interco;Interco
KO 4120 VAN BRE COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2504030842002963 DATE VALEUR : 03/04/2025;Interco;Interco
KO 4120 VAN BRE COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2502240828383441 DATE VALEUR : 24/02/2025;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2507041533330657 DATE VALEUR : 04/07/2025;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TFT INTERNE EXECUTE LE 10/06 REFERENCE BANQUE : 2506102317440503 DATE VALEUR : 11/06/2025;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2505231030191487 DATE VALEUR : 23/05/2025;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2505050940429818 DATE VALEUR : 05/05/2025;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TFT INTERNE EXECUTE LE 19/04 REFERENCE BANQUE : 2504192205172745 DATE VALEUR : 22/04/2025;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2504160931293578 DATE VALEUR : 16/04/2025;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2504030847112492 DATE VALEUR : 03/04/2025;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2504011040422151 DATE VALEUR : 01/04/2025;Interco;Interco
KOMINI VAN BREDA COMMUNICATION : TFT INTERNE EXECUTE LE 24/03 REFERENCE BANQUE : 2503241916492579 DATE VALEUR : 25/03/2025;Interco;Interco
KO GEMBLOUX VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2507041652515881 DATE VALEUR : 04/07/2025;Interco;Interco
KO GEMBLOUX VAN BREDA COMMUNICATION : TFT INTERNE EXECUTE LE 10/06 REFERENCE BANQUE : 2506102238508135 DATE VALEUR : 11/06/2025;Interco;Interco
KO GEMBLOUX VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2505151709328014 DATE VALEUR : 15/05/2025;Interco;Interco
KO GEMBLOUX VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2505050943495559 DATE VALEUR : 05/05/2025;Interco;Interco
KO GEMBLOUX VAN BREDA COMMUNICATION : TFT INTERNE EXECUTE LE 19/04 REFERENCE BANQUE : 2504191906003551 DATE VALEUR : 22/04/2025;Interco;Interco
KO GEMBLOUX VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2504030840249406 DATE VALEUR : 03/04/2025;Interco;Interco
KO GEMBLOUX VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2503261116281237 DATE VALEUR : 26/03/2025;Interco;Interco
KO GEMBLOUX VAN BREDA COMMUNICATION : TFT INTERNE EXECUTE LE 21/02 REFERENCE BANQUE : 2502212257540924 DATE VALEUR : 24/02/2025;Interco;Interco
KO 1410 VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2505051623252177 DATE VALEUR : 05/05/2025;Interco;Interco
KO 1410 VAN BREDA COMMUNICATION : TFT INTERNE EXECUTE LE 25/04 REFERENCE BANQUE : 2504251912459093 DATE VALEUR : 28/04/2025;Interco;Interco
KO 1410 VAN BREDA COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2504030845183321 DATE VALEUR : 03/04/2025;Interco;Interco
VIREMENT EN EUROS DU COMPTE BE37 0018 9501 4228 BIC GEBABEBB KO AMUSEMENT 1410 SRL DREVE RICHELLE 4A 1410 WATERLOO COMMUNICATION : TFT INTERNE REFERENCE BANQUE : 2502191518230986 DATE VALEUR : 19/02/2025;Interco;Interco
COMPTE A COMPTE IQ BNP IQ CONCEPT SAS 48251775200010                     BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQ BNP VIR SEPA 06/01/2025 11 39 33-00001 VIR SEPA 06/01/2025 11 39 33       COMPTE A COMPTE IQ BNP FR7630003010980002078057838;Interco;Interco
KSP BNP PGE VIR SEPA 23/01/2025 15 44 36-00001 COMPTE A COMPTE KSP;Interco;Interco
KSP KSP 48205614000049                     BICORBEI COMPTE A COMPTE KSP VIR SEPA 23/01/2025 15 44 36-00001 CASH FR FRANCE;Interco;Interco
COMPTE A COMPTE BNP IQ CONCEPT SAS 48251775200010                     BICORBEI IQ CONCEPT SG COMPTE A COMPTE BNP VIR SEPA 03/02/2025 14 39 23-00001 VIR SEPA 03/02/2025 14 39 23       COMPTE A COMPTE BNP FR7630003010980002078057838;Interco;Interco
VIR COMPTE A COMPTE IQC BNP IQ CONCEPT SAS 48251775200010                     BICORBEI IQ CONCEPT SG VIR COMPTE A COMPTE IQC BNP VIR SEPA 14/03/2025 15 51 20-00001 VIR SEPA 14/03/2025 15 51 20       VIR COMPTE A COMPTE IQC BNP FR7630003010980002078057838;Interco;Interco
VIR COMPTE A IQ CONCEPT SAS IQ CONCEPT SAS VIR COMPTE A COMPTE IQC BNP VIR SEPA 14/03/2025 15 51 20-00001 48251775200010;Interco;Interco
IQ CONCEPT SG VIR SEPA 28/03/2025 16 19 39-00001 COMPTE A COMPTE IQC CB LYON;Interco;Interco
COMPTE A COMPTE IQC BNP IQ CONCEPT SAS 48251775200010                     BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQC BNP VIR SEPA 28/03/2025 16 18 10-00001 VIR SEPA 28/03/2025 16 18 10       COMPTE A COMPTE IQC BNP FR7630003010980002078057838;Interco;Interco
IQ CONCEPT SG VIR SEPA 04/04/2025 08 50 02-00001 COMPTE A COMPTE IQC CB LYON;Interco;Interco
COMPTE A COMPTE IQC BNP IQ CONCEPT SAS 48251775200010                     BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQC BNP VIR SEPA 11/04/2025 18 12 47-00001 VIR SEPA 11/04/2025 18 12 47       COMPTE A COMPTE IQC BNP FR7630003010980002078057838;Interco;Interco
COMPTE A COMPTE IQC BNP IQ CONCEPT SAS 48251775200010                     BICORBEI KSP SG COMPTE A COMPTE IQC BNP VIR SEPA 28/04/2025 22 34 50-00001 VIR SEPA 28/04/2025 22 34 50       COMPTE A COMPTE IQC BNP FR7630003011000002015126342;Interco;Interco
IQ CONCEPT SG VIR SEPA 02/05/2025 13 59 42-00001 COMPTE A COMPTE IQ CB LYON;Interco;Interco
COMPTE A COMPTE IQC BNP IQ CONCEPT SAS 48251775200010                     BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQC BNP VIR SEPA 02/05/2025 13 58 01-00001 VIR SEPA 02/05/2025 13 58 01       COMPTE A COMPTE IQC BNP FR7630003010980002078057838;Interco;Interco
COMPTE A COMPTE IQ LF LUCKY FOLKS SAS 90788654300000                     BICORBEI IQ CONCEPT SG COMPTE A COMPTE IQ LF VIR SEPA 07/05/2025 14 21 51-00001 VIR SEPA 07/05/2025 14 21 51       COMPTE A COMPTE IQ LF FR7630003010980002078057838;Interco;Interco
DE SG 01679 0109800020794306;Interco;Interco
DE SG 01679 0109800020791765;Interco;Interco
DE SG 01679 0109800020791575;Interco;Interco
DE SG 01679 0109800020782830;Interco;Interco
DE SG 01679 0109800020791773;Interco;Interco
